Project,Client,Title,Duration
SOS1920-12,,#1 Comprobar backlog,01:28:06
SOS1920-12,,#1 issueprueba,00:00:30
SOS1920-12,,#1 Revisar backlog,00:32:14
SOS1920-12,,#10 Task 5,29:24:16
SOS1920-12,,#11 Tareas F03,05:09:24
SOS1920-12,,#12 Tasks for F03,05:18:00
SOS1920-12,,#13 Requisitos por alumno,07:49:03
SOS1920-12,,#3 Issue for F01,00:00:09
SOS1920-12,,#4 F01,00:00:06
SOS1920-12,,#5 Tareas por grupo,02:14:40
SOS1920-12,,#6 Tarea individual,00:20:52
SOS1920-12,,#7 Issue for F02,04:00:00
SOS1920-12,,#9 Ver videos L06 y L07  de nuevo,05:26:17
SOS1920-12,,Arreglando D02,61:33:11
SOS1920-12,,Backlog F01 - PRL,00:07:52
SOS1920-12,,D03,146:35:15
SOS1920-12,,Grabar el video y hacer integraciones internas y externas así como sus gráficas,20:23:00
SOS1920-12,,Graficas,44:24:29
SOS1920-12,,GroomIDE container f01,09:06:12
SOS1920-12,,Issue for F01 #3,00:38:24
SOS1920-12,,Lab Sos L04,10:50:48
SOS1920-12,,Lab sos L05,185:00:00
SOS1920-12,,No he conseguido arreglar el highcharts pero he empezado,05:46:00
SOS1920-12,,Rellenar tiempo feedback,00:33:08
SOS1920-12,,,05:25:00
